items,hessian,term,df,statistic,p.value
Q11RegionPolicy,595.0932121167822,Q2,5,180.56983781469387,4.043335180206445e-37
Q11RegionPolicy,595.0932121167822,Q7_continent,4,6.819237260082626,0.1457546685902237
Q11LocalPolicy,522.5128924271371,Q7_continent,4,195.26025532297317,3.924495942057481e-41
Q11LocalPolicy,522.5128924271371,Q8,5,18.94542905267146,0.0019676441371179985
Q11CulturalMyths,1760.1635391406426,Q5,3,143.5029395004096,6.638935403348123e-31
Q11CulturalMyths,1760.1635391406426,Q7_continent,4,14.130002560302122,0.006891493804441515
Q11LocalChampions,1225.4188382593195,Q5,3,118.65652880388942,1.502321713630372e-25
Q11LocalChampions,1225.4188382593195,Q7_continent,4,10.135395881708867,0.03820768293514024
Q11AvailableEquipment-Staff,495.963359908806,Q7_continent,4,186.47882629881528,3.0260071252872006e-39
Q14A_SM_EffectivelyProtected,484.32530060869493,Q7_continent,4,288.50370524955594,3.268421668625087e-61
Q14A_SM_ImpactedSLR,333.88055768777826,Q1,4,178.32840852877078,1.7041674224421154e-37
Q14A_SM_ImpactedSLR,333.88055768777826,Q7_continent,4,8.346301579019919,0.07968540377225905
Q14A_SM_UndervalResource,498.7828219566591,Q7_continent,4,150.46576431458658,1.617769938169358e-31
Q14A_SM_UndervalResource,498.7828219566591,Q8,5,12.891024186265083,0.024421674510489707
Q14A_SM_CCmeansNeed4Mngmnt,933.5821373045623,Q6,4,140.91205518512362,1.8004243121070368e-29
Q14A_SM_CCmeansNeed4Mngmnt,933.5821373045623,Q7_continent,4,17.36751281148739,0.0016395941762302935
Q14A_SM_CCmeansNeed4Mngmnt,933.5821373045623,Q8,5,16.31553357431898,0.005998638981745706
Q14A_CCPositiveCoast,312.5229002607772,Q7_continent,4,294.2237644255621,1.9085838016193345e-62
Q14A_SM_ImpactedUrbanDev,1029.3921120897853,Q1,4,182.5172698677573,2.1472640181317385e-38
Q14A_SM_ImpactedUrbanDev,1029.3921120897853,Q7_continent,4,15.53535934797067,0.0037104301043904553
Q14A_Need2ConserveSMinPolicy,374.2351855780887,Q7_continent,4,296.921192513787,4.99929743536089e-63
Q14A_LackResources4SMconserv,41.82200708794342,Q1,4,224.7441119995725,1.7862497532193745e-47
Q14A_Need2ImproveMonitorSM,244.28893471155683,Q7_continent,4,211.89506876424826,1.0393007081103768e-44
Q14A_need4holisticApp,168.94251692547843,Q8,5,130.79607585531608,1.612970514129029e-26
Q14A_restoringSedInputsCrucial,60.329911725414156,Q1,4,216.98160419248862,8.364133377779993e-46
Q15,599.9854010626905,Q2,5,297.28891819818836,3.83260150530161e-62
Q15,599.9854010626905,Q5,3,7.879673343149563,0.048565065589772825
Q18SMimportFoodProvision,375.0775314675428,Q7_continent,4,265.8619962771088,2.4870363909219594e-56
Q18SMprotectFlood,155.74593232017443,Q1,4,156.825445948475,7.009341006197906e-33
Q18SMprotectFlood,155.74593232017443,Q8,5,15.94107395066661,0.007014339699499592
Q18SMplantsValResource,282.56760106147544,Q7_continent,4,199.51177803960908,4.7845191889274336e-42
Q18SMprovideFoodFish,485.6594131235084,Q7_continent,4,128.06716441818799,1.008570512940616e-26
Q18SMprovideFoodFish,485.6594131235084,Q8,5,20.45844546177147,0.0010248246369889127
Q18SMpreventErosion.,409.3284077510325,Q7_continent,4,122.31169293853381,1.7133075454956928e-25
Q18SMimportantHabitats,147.7295129139323,Q1,4,74.06933662111365,3.1349278269950555e-15
Q18SMimportantHabitats,147.7295129139323,Q8,5,26.55799255893255,6.95339381068809e-5
Q18SMimproveWQual,317.6815687242317,Q6,4,172.8651888581121,2.5379002497970302e-36
Q18SMimproveWQual,317.6815687242317,Q7_continent,4,10.72229708304098,0.02986883672268637
Q18SMimportantHWellB,262.13659023979693,Q7_continent,4,206.60393722060888,1.4282938567252784e-43
Q18SMvaluableRecreat,342.672505529968,Q7_continent,4,205.86781926131698,2.0564980920051946e-43
Q18SMvaluableRecreat,342.672505529968,Q8,5,24.642110614048992,1.6334347346163728e-4
Q18SMimportantCulture,279.8622120502184,Q1,4,223.83362981989757,2.8048101589117155e-47
Q18SMimportantCulture,279.8622120502184,Q5,3,9.455478505578643,0.02380974176247364
Q18SMimportantCulture,279.8622120502184,Q8,5,11.245557988252061,0.046722896988981584
Q18SMimportantArt,234.03392638121284,Q7_continent,4,277.7032454151357,6.96905616622301e-59
Q18SMimportantSensePlace,116.43723340499838,Q1,4,239.53476857548785,1.1685183904515106e-50
Q18SMimportantSensePlace,116.43723340499838,Q8,5,9.505808329649984,0.0905119148986505
Q18SMimportantReligion,201.53172252889547,Q7_continent,4,268.3644206754105,7.183333402887432e-57
Q19Tourism,358.7792586816266,Q7_continent,4,201.34271841977335,1.9327818513673557e-42
Q19CoastalProtection,116.14103421673907,Q6,4,117.62033038118713,1.721253275848433e-24
Q19ReducePollution,817.7198922104628,Q5,3,93.64921700533634,3.602370805741606e-20
Q19ReducePollution,817.7198922104628,Q7_continent,4,14.329772124007,0.006313637578774508
Q19HealthWB,285.6774546017902,Q7_continent,4,245.27966965589914,6.766356704357971e-52
Q19HealthWB,285.6774546017902,Q8,5,16.02749138844347,0.0067660215047711586
Q19Agriculture,418.00789919644865,Q5,3,153.80980691818016,3.970575135900751e-33
Q19Agriculture,418.00789919644865,Q7_continent,4,53.126559241232734,8.017613753860577e-11
Q19EnvEducation,281.0852016116512,Q7_continent,4,170.5215144908004,8.082335454811167e-36
Q19Cstorage,964.8029989170825,Q2,5,107.59306285492963,1.321327805743092e-21
Q19Cstorage,964.8029989170825,Q5,3,2.848305537680799,0.4156095745738862
Q19Cstorage,964.8029989170825,Q7_continent,4,9.082029420876902,0.05908152166025353
Q19ReduceCCimpacts,590.0246631961263,Q2,5,131.5851578928762,1.09682782312388e-26
Q19ReduceCCimpacts,590.0246631961263,Q6,4,10.943595936278227,0.027205285487479983
Q19ReduceCCimpacts,590.0246631961263,Q7_continent,4,13.107527326877712,0.010762173721569778
Q19Wildfood,381.1949174160628,Q1,4,204.93446988219213,3.264736482325546e-43
Q19Wildfood,381.1949174160628,Q7_continent,4,11.034244449536232,0.026181837787043024
